# slow-trend daily battery 35 coins x 9 strats, cost 30bp rt (2x=60bp), gate omits y2022, fills=next open
coin   strat          n     net%     PF     H1%     H2%  worst%    y22%   2xnet%   2xPF verdict
SAND   TSMOM30       61     -6.2   0.98    -4.9    -1.3   -18.3    +0.0    -24.5   0.91 [fail]
SAND   TSMOM60       27    +43.7   1.34   +92.4   -48.7   -32.1    +0.0    +35.6   1.27 [fail]
SAND   TSMOM90       16    +10.0   1.20   +18.3    -8.3    -9.8    +0.0     +5.2   1.10 [fail]
SOL    DONCH20_10    25   +821.2   7.55  +798.1   +23.1   -30.2   -57.2   +813.7   7.28 [PASS]
SOL    DONCH40_20    13   +845.0   8.87  +908.2   -63.3   -35.7   -64.7   +841.1   8.73 [fail]
SOL    DONCH55_20    12   +528.6   6.01  +605.3   -76.7   -35.7   -30.5   +525.0   5.90 [fail]
SOL    MA10_50       19  +1030.8  11.03 +1027.8    +3.0   -18.0   -82.6  +1025.1  10.69 [PASS]
SOL    MA20_100      13   +700.3   5.39  +769.1   -68.8   -29.1   -51.4   +696.4   5.30 [fail]
SOL    MA50_200       6   +583.3   6.52    +0.0    +0.0   -36.8    +0.0   +581.5   6.44 [fail]
SOL    TSMOM30       58  +1046.5   6.50 +1078.0   -31.5   -12.4    +0.9  +1029.1   6.15 [fail]
