INJ SWEET-SPOT VALIDATION SWEEP — 2026-07-14
Replicates S-2026-07-13 methodology (ChimeraCrypto ec810117) for INJUSDT (never swept).
Tool: upjump_earlyarm_bt confirmcut/confirmrand (binary of 2026-07-13, driven from /Users/jo/Crypto/backtest)
Data: data/INJUSDT_1h.csv — Binance public klines, 30,968 bars 2023-01-01..2026-07-14 UTC,
      close range $1.253-$52.38, 0 gaps >2h (fetched this session).
Grid: W in {1,2,3,4,6,8,12,24}h x thr in {0.5..8.0 step 0.5}% = 128 cells.
Cell config: confirm=20bp, CC_RT=20bp, CC_CUT=50bp, CC_FROMYEAR=2023, BE-N6 arms {0.2,2,3,4,6,8}.
Gate stack: net>0, PF>=1.3, n>=30, H1>0 AND H2>0, exbestEpi>0; then plateau (thr+/-0.5%),
            2x-cost re-sim (RT=40: net>0, PF>=1.2ish), confirmrand 20-seed z>=2.

FULL GRID (columns after win= : confirm | n net% PF worst_bp | nRev sumRev% | nNeg sumNeg% | nvrOpen | H1% H2% | y2022% y23-26% | exbestEpi bestEpi%)
W=8  thr=4.5% win=272       20bp |   914      +166   1.13  -1093.3 |   378    -776.3 |   656   -1230.1 |    718 |       +76       +89 |       +0       +166 |       +40     +125
W=8  thr=5.0% win=228       20bp |   720      +240   1.24   -789.3 |   306    -619.7 |   526   -1003.8 |    648 |      +203       +37 |       +0       +240 |       +93     +147
W=8  thr=5.5% win=184       20bp |   607      +145   1.17   -721.0 |   241    -500.4 |   432    -853.5 |    497 |       +54       +91 |       +0       +145 |       +13     +132
W=8  thr=6.0% win=157       20bp |   536      +119   1.16   -721.0 |   209    -450.7 |   368    -737.7 |    406 |      +109       +10 |       +0       +119 |       -52     +172
W=8  thr=6.5% win=122       20bp |   456        +3   1.01   -630.2 |   186    -395.5 |   327    -635.8 |    276 |       +72       -69 |       +0         +3 |      -168     +172
W=8  thr=7.0% win=100       20bp |   361       -39   0.93   -601.5 |   174    -370.7 |   277    -551.6 |    239 |       -23       -16 |       +0        -39 |      -211     +172
W=8  thr=7.5% win=78        20bp |   279      -269   0.44   -806.7 |   151    -319.9 |   235    -475.8 |    189 |      -230       -39 |       +0       -269 |      -383     +115
W=8  thr=8.0% win=66        20bp |   251      -234   0.47   -806.7 |   119    -260.0 |   205    -439.7 |    145 |      -196       -38 |       +0       -234 |      -348     +115
W=12 thr=0.5% win=1402      20bp |  3409      -473   0.88   -848.9 |  1248   -2272.1 |  2442   -3801.4 |   5003 |      -299      -174 |       +0       -473 |      -607     +135
W=12 thr=1.0% win=1034      20bp |  2842      -233   0.93  -1180.3 |  1044   -1928.7 |  1993   -3276.3 |   3362 |      -267       +35 |       +0       -233 |      -367     +135
W=12 thr=1.5% win=811       20bp |  2425       +15   1.01  -1180.3 |   875   -1626.6 |  1682   -2822.9 |   2441 |      -155      +169 |       +0        +15 |      -120     +135
W=12 thr=2.0% win=694       20bp |  2135      -181   0.93  -1180.3 |   825   -1568.7 |  1508   -2617.4 |   2029 |      -213       +32 |       +0       -181 |      -342     +161
W=12 thr=2.5% win=589       20bp |  1825      -292   0.88  -1180.3 |   725   -1414.7 |  1319   -2371.8 |   1709 |      -192      -100 |       +0       -292 |      -405     +113
W=12 thr=3.0% win=505       20bp |  1619      -415   0.82  -1180.3 |   690   -1380.8 |  1206   -2263.1 |   1411 |      -240      -176 |       +0       -415 |      -552     +137
W=12 thr=3.5% win=425       20bp |  1353      -228   0.88  -1180.3 |   564   -1154.8 |   978   -1875.2 |   1197 |      -125      -103 |       +0       -228 |      -360     +132
W=12 thr=4.0% win=364       20bp |  1176      -299   0.82  -1180.3 |   516   -1065.3 |   869   -1662.2 |   1008 |      -287       -13 |       +0       -299 |      -432     +132
W=12 thr=4.5% win=310       20bp |  1007      -103   0.93  -1180.3 |   442    -904.8 |   738   -1389.1 |    853 |      -115       +12 |       +0       -103 |      -262     +158
W=12 thr=5.0% win=251       20bp |   811      +402   1.38  -1180.3 |   358    -712.7 |   574   -1059.1 |    695 |       +78      +324 |       +0       +402 |      +227     +175
W=12 thr=5.5% win=208       20bp |   696       -32   0.97  -1180.3 |   312    -632.4 |   518    -970.5 |    552 |       -61       +29 |       +0        -32 |      -200     +168
W=12 thr=6.0% win=173       20bp |   564       -65   0.92  -1093.3 |   242    -486.6 |   428    -795.8 |    474 |       -65        +1 |       +0        -65 |      -233     +168
W=12 thr=6.5% win=145       20bp |   530       -77   0.90  -1093.3 |   223    -464.2 |   394    -754.4 |    340 |      -102       +26 |       +0        -77 |      -221     +144
W=12 thr=7.0% win=127       20bp |   453      -166   0.75  -1093.3 |   191    -397.5 |   339    -664.3 |    309 |      -103       -63 |       +0       -166 |      -310     +144
W=12 thr=7.5% win=102       20bp |   370       -95   0.84  -1093.3 |   150    -337.7 |   282    -577.9 |    242 |       +99      -194 |       +0        -95 |      -393     +299
W=12 thr=8.0% win=87        20bp |   317      -299   0.39   -721.0 |   133    -291.8 |   247    -487.1 |    205 |      -164      -136 |       +0       -299 |      -346      +47
W=24 thr=0.5% win=990       20bp |  2337      -169   0.94  -1093.3 |   825   -1661.1 |  1695   -2823.6 |   3603 |       -77       -91 |       +0       -169 |      -313     +144
W=24 thr=1.0% win=720       20bp |  1968      -185   0.92   -793.0 |   766   -1507.1 |  1440   -2428.1 |   2352 |      -166       -18 |       +0       -185 |      -329     +144
W=24 thr=1.5% win=571       20bp |  1669      -263   0.88   -793.0 |   690   -1389.9 |  1217   -2152.8 |   1757 |      -285       +22 |       +0       -263 |      -407     +144
W=24 thr=2.0% win=472       20bp |  1461      -451   0.76   -694.9 |   618   -1265.2 |  1071   -1913.0 |   1371 |      -264      -187 |       +0       -451 |      -595     +144
W=24 thr=2.5% win=401       20bp |  1314      -395   0.77   -694.9 |   546   -1107.6 |   956   -1714.2 |   1092 |      -331       -64 |       +0       -395 |      -539     +144
W=24 thr=3.0% win=360       20bp |  1186      -330   0.78   -694.9 |   527   -1061.2 |   877   -1532.1 |    974 |      -294       -36 |       +0       -330 |      -474     +144
W=24 thr=3.5% win=325       20bp |  1060       +98   1.07   -694.9 |   467    -952.6 |   773   -1359.1 |    890 |      -122      +220 |       +0        +98 |       -86     +184
W=24 thr=4.0% win=296       20bp |   995      +305   1.24   -694.9 |   443    -903.2 |   730   -1279.5 |    781 |      -139      +444 |       +0       +305 |      +105     +199
W=24 thr=4.5% win=272       20bp |   896      +336   1.28   -694.9 |   420    -846.3 |   674   -1197.4 |    736 |       -67      +403 |       +0       +336 |      +137     +199
W=24 thr=5.0% win=244       20bp |   796      +520   1.49   -762.6 |   341    -707.5 |   579   -1061.8 |    668 |      +176      +344 |       +0       +520 |      +336     +184
W=24 thr=5.5% win=222       20bp |   782      +517   1.50   -762.6 |   326    -704.2 |   556   -1036.2 |    550 |      +153      +364 |       +0       +517 |      +333     +184
W=24 thr=6.0% win=194       20bp |   680      +373   1.40   -762.6 |   298    -629.7 |   492    -923.8 |    484 |       +13      +360 |       +0       +373 |      +189     +184
W=24 thr=6.5% win=175       20bp |   595      -103   0.88   -762.6 |   250    -540.8 |   448    -865.2 |    455 |      -219      +116 |       +0       -103 |      -288     +184
W=24 thr=7.0% win=157       20bp |   530      -182   0.77   -762.6 |   220    -471.0 |   407    -788.0 |    412 |      -300      +119 |       +0       -182 |      -392     +210
W=24 thr=7.5% win=138       20bp |   481      -165   0.77   -694.9 |   217    -450.0 |   375    -706.0 |    347 |      -283      +118 |       +0       -165 |      -375     +210
W=24 thr=8.0% win=121       20bp |   424      -145   0.76   -736.7 |   178    -383.1 |   314    -607.4 |    302 |      -244       +99 |       +0       -145 |      -293     +149

================================================================
SURVIVORS
================================================================
Gate-passing cells: W12/5.0%, W24/5.0%, W24/5.5%, W24/6.0%

W=12 thr=5.0%  base net+402% PF1.38 n=811 H1+78 H2+324 exbestEpi+227
  -> PLATEAU REJECT: both thr-neighbors negative (4.5%: -103, 5.5%: -32) = isolated cell.
     (2x: +240/PF1.20, z=+2.2 — moot)

W=24 thr=5.0%  SURVIVOR
  base: net+520% PF1.49 n=796 worst-762.6bp H1+176 H2+344 exbestEpi+336
  2x-cost RT=40: net+361% PF1.31 H1+96 H2+265  PASS
  confirmrand: actual+520 rand_mu-6 sd248 z=+2.1  PASS
  plateau: 4.5%=+336, 5.5%=+517  PASS

W=24 thr=5.5%  SURVIVOR (strongest)
  base: net+517% PF1.50 n=782 worst-762.6bp H1+153 H2+364 exbestEpi+333
  2x-cost RT=40: net+360% PF1.31 H1+75 H2+285  PASS
  confirmrand: actual+517 rand_mu-93 sd208 z=+2.9  PASS
